Timestep,mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,mc_17,mc_18,mc_19,mc_20,mc_21,mc_22,mc_23,mc_24,mc_25,mc_26,mc_27,mc_28,mc_29,mean
12,0.3445361139369278,0.3103800082610492,0.3223732904263878,0.3278200078771169,0.2754609475032011,0.3493002544529261,0.2983707865168539,0.318115987460815,0.3054792394256887,0.3152978358688665,0.3133585755218993,0.3230637353771682,0.3455726364335126,0.3192282466112812,0.331298975286317,0.318258910282671,0.309868505452213,0.3279866606375763,0.3360250000000001,0.3076251803008448,0.3681680618158403,0.3263119084305525,0.3274336283185841,0.3682286432160804,0.3651131541725601,0.3413913234005258,0.2848864884657633,0.3188511667017027,0.3141290983606558,0.3246184265695029
13,0.3459156126109118,0.3133224693251533,0.3253056849953401,0.3255882352941177,0.2778900169204737,0.3513359442993908,0.2997500454462825,0.321536813400857,0.3048485121731289,0.3146492985971943,0.3131066314996232,0.3273164794007491,0.3486087420042644,0.3211723076923077,0.3311263940520446,0.3220435285053929,0.3085173095944609,0.3293278201865988,0.334562957258375,0.308589594253543,0.3724363057324841,0.3255268573780613,0.3324650934119961,0.369810274372446,0.3643937389770723,0.3417095851216022,0.2842484163670605,0.3176147783251231,0.3143314231136581,0.325760374838266
14,0.3484114124691793,0.316786355475763,0.3259532092537833,0.3249159375536112,0.2789411488495852,0.3522911079017949,0.3022307175264662,0.325728730187648,0.3057144060657119,0.3161393596986818,0.3153419399860432,0.329088523442967,0.3516096115865701,0.3225623911781776,0.3320841283607978,0.3256105760494276,0.3069856591285162,0.3302087515054195,0.3345839311334289,0.3115723732549595,0.3776612001490869,0.3245082284607937,0.3374594095940959,0.372841961852861,0.363280215231788,0.341575263662512,0.2857329673877946,0.3168311953894776,0.3123378595676254,0.3272065024794678
15,0.3498363095238095,0.3209808532079274,0.329888381945576,0.3240690156780346,0.279257022267501,0.3514629847238542,0.303993278099109,0.3309163108454312,0.3068173183473168,0.3193204400283889,0.3174679954626478,0.332432054027343,0.3546997089014861,0.3251724770642201,0.3325505215123858,0.3279487842731505,0.3069014930495967,0.3310400381315538,0.3350252100840336,0.3115343086032742,0.3824510146955913,0.3237191216834401,0.344047783933518,0.3773084815321477,0.3648611654282362,0.3409095860566448,0.2874169966494059,0.3182172383465259,0.3096531986531987,0.32896203768121884
16,0.3522662317489903,0.3266498103666245,0.3336640171201467,0.3238746373492137,0.2816807351940095,0.3497805875790256,0.308857038657914,0.3364519230769231,0.3046617929404814,0.3222113436866982,0.3193389933292904,0.3346973006709315,0.3589316361556063,0.3287690022715358,0.333515397579286,0.3303028308097432,0.3079554263565892,0.3314760348583878,0.3346386687797147,0.3132646961142477,0.3864920424403182,0.3216643514499044,0.3500709972253958,0.3801800419828838,0.3649408721359941,0.3417575496117342,0.2912266878704641,0.3198617588274483,0.3095619335347432,0.3309911841284223
17,0.3560663541819246,0.3301730310262529,0.3352085430749316,0.323229076165653,0.2847662835249042,0.3484929927266276,0.3136203589532813,0.3451238670694864,0.3060784585528139,0.3242616372391653,0.3230836784235327,0.3388275452656575,0.3623156697444132,0.3306018672890964,0.3356691718456425,0.3332124842370744,0.3082499618728077,0.3312816950329976,0.3359714285714286,0.3185506788759077,0.3912258216700739,0.3197920792079208,0.3558727833461834,0.3816823565138172,0.3657137858642407,0.3455397400032911,0.2947283507997794,0.3217237280076081,0.3081335642222557,0.33342058597616453
18,0.358864834859839,0.3347341628959276,0.3365872374798062,0.3254531638574191,0.287310191312718,0.3495488466757123,0.3185603715170279,0.3541339145348006,0.3070824125828675,0.3280107033639143,0.3269070080862534,0.3401592807588844,0.3677307158187097,0.3344523809523809,0.3373953646898432,0.3358378705384151,0.3092294422081656,0.3333510638297872,0.3350485506211623,0.3235761689291101,0.3964796070259005,0.3185618807988677,0.3633189339581197,0.3834728213977567,0.3681028161973005,0.3494798868636077,0.2986584080126515,0.3259268514311677,0.3091618993135012,0.33645299277626267
19,0.3651039610475062,0.3399825080731969,0.338680748798381,0.3283421330517423,0.2924965909090909,0.3507897294670339,0.3237348227294804,0.3630240410588871,0.310333251953125,0.3309683507549361,0.3328873419338357,0.3429234527687296,0.3731784519827998,0.3368341937443061,0.3398021142194147,0.3379624800811241,0.3116290760869564,0.3359293798820342,0.3363232694138446,0.3283261089437942,0.4007564575645756,0.3170655100209393,0.3713133704735376,0.3868242780895032,0.3711479834868212,0.3526723231716474,0.3028416813491064,0.3297324147933285,0.3107918367346938,0.3400826849167025
20,0.3702317714858432,0.3481383115216833,0.3419020637003458,0.3320041766864953,0.297818347054421,0.3550154774802662,0.3276905881004242,0.3723394024874984,0.3128319192845677,0.3354902637757216,0.3386837006539113,0.3468013796693999,0.3789632486388384,0.3407086728754365,0.3424920440636475,0.3426189151599443,0.3145485443119147,0.3371239073761692,0.3370111514522821,0.3332304185661003,0.4053774861317819,0.3157035821321535,0.3778052190121155,0.3896054519368723,0.3738097412480974,0.3552514367816091,0.3074593716143012,0.3345970087245534,0.3115977516474997,0.3440293570197895
21,0.3759411202675265,0.3554309500489715,0.3439325084364453,0.3362767249757046,0.3024489589650292,0.3599630286897367,0.3328259928579157,0.3809594973770892,0.3159715639810426,0.3399191108772852,0.3451688490696071,0.3502043359082979,0.3843620002155404,0.3454565701559019,0.3437813661710037,0.3456528428093645,0.3177750211787486,0.3408011540168664,0.3402736686390533,0.3391975308641974,0.4100580495356037,0.3178041967570513,0.3866551900025504,0.391914774841831,0.3774087591240876,0.3609025669334805,0.3149089651993547,0.3409374171307345,0.312936429715412,0.34861617740501494
22,0.3822530969428344,0.3620564090535944,0.3468307463321284,0.3424912567031941,0.3063987553853518,0.3653754410726887,0.3395889708897088,0.3873288940359004,0.319103451786987,0.3474589753225603,0.3511426079372002,0.3543004066012915,0.3880955061930596,0.3512697139802192,0.3478190370780298,0.3491579827608387,0.3232186281257169,0.3445589288271516,0.3445700824499411,0.3465765364550197,0.4157163958641063,0.3209913793103447,0.3947418644482506,0.3937247847115725,0.3804245614035088,0.3659545875810936,0.3225060746631322,0.3472750381291307,0.31439657196525,0.3536319546899933
23,0.3873629653750136,0.3679850242089855,0.3495519246190858,0.348859158083296,0.3105540430166077,0.371899151743638,0.3456751382287322,0.396453481955634,0.3222258560984994,0.353516923812941,0.3581828113619811,0.3593430279342453,0.3931205500829026,0.3600564247242883,0.3520117125672681,0.3539345378047271,0.3278244605876612,0.3509196119196119,0.3497262280306444,0.3554892367906066,0.4209224441833137,0.3235901598401598,0.4030995421997887,0.396507498026835,0.3860055338102308,0.372313775510204,0.3316270683071701,0.3535380116959064,0.316804899977523,0.35927935181025866
24,0.3914998439288315,0.372444733420026,0.3543630512966118,0.3558268650280293,0.315396099413186,0.3783795582948125,0.3504322236527497,0.4049821071466162,0.3257809506431894,0.3610566921933935,0.3648220640569394,0.3640994371482176,0.397745298827034,0.3689748644652538,0.3547625303152789,0.3615430479370378,0.3319020291043246,0.3570120562625585,0.3556203554119547,0.3642686935086277,0.4256334943277546,0.3256774001192606,0.4106241565452092,0.3998345370270562,0.391442595241191,0.3797970479704797,0.3400546308587766,0.3593736805066854,0.3203298835705045,0.36495448028350314
25,0.3970275531596286,0.3793161634103019,0.3595390198010931,0.3614005412719892,0.3203449127428384,0.3860169491525423,0.3542276138942223,0.4132885872297637,0.328138458877454,0.3678362125519353,0.3697049411764705,0.3709225874867444,0.4014642063139172,0.3786971914090158,0.3586016252297571,0.3691857257786461,0.3374394497190466,0.3632992227979274,0.3627326478149101,0.3732263895164934,0.4299709739840894,0.3290184678522571,0.4188712817739318,0.4038642230252969,0.396401026668336,0.3886003322653376,0.3495700778095144,0.3644502027940514,0.3243170529801324,0.3709473668444016
26,0.4006044061302682,0.3853677139104959,0.3660158378746594,0.3672263506728259,0.3230348180677541,0.3933682599481987,0.3575482561511059,0.4212144988928468,0.3336201499299777,0.3756751805715482,0.3742022230190032,0.3782047477744807,0.4043382602786272,0.3879350413785285,0.3597948765546687,0.3759193619849357,0.3431880733944953,0.3711466047445714,0.3692176003139409,0.3821293272370999,0.4341543928313935,0.3337422478511587,0.4269821317265739,0.4091392630744849,0.4028542998432034,0.3958262370540851,0.3580553442373527,0.369942503796919,0.3318515383849447,0.3769758464700051
27,0.4051031497513354,0.391222810111699,0.3714598481176281,0.3748284551269625,0.3262848911172641,0.4007448979591836,0.3606056071822334,0.428077704887739,0.338557896391793,0.3831956172094893,0.3792453233108396,0.3857318518518519,0.4073836217401901,0.3976695747001091,0.3606221157259496,0.3836017944883572,0.3482364964773418,0.3798923750456038,0.3757031323048153,0.3915103071098023,0.4384926434284585,0.3396830436140314,0.4346345116836428,0.4147890936728102,0.4096629409710094,0.4033160477305676,0.3660180080852628,0.3766229216772979,0.3398529270863275,0.38319826236412396
28,0.4086858434535945,0.3979077609955352,0.3759423239382535,0.382628277153558,0.3296179710974388,0.4089655548288642,0.3643554672862174,0.4354853162984651,0.3435535110777319,0.3907044773232763,0.3848384596557069,0.3928992558672009,0.4090533188248095,0.4073789561936701,0.3614895780376207,0.3918503450406839,0.3518993721083939,0.3889228598306679,0.3806187678062678,0.4004587155963303,0.4436918191297753,0.3458336649423,0.4429110641567422,0.419531534815895,0.4163732116706095,0.4100949503668537,0.3728415542938254,0.3833207642031171,0.3465205542725174,0.38925431897468704
