,TotalSugar,AvgSugarLevel,SugarGini,NumCooperators,RiskAverseAvgSugar,NeutralAvgSugar,RiskSeekingAvgSugar
62,2214,54.85,0.10003099361896077,30,52.0,51.515151515151516,60.85294117647059
63,2174,55.73,0.09950654943477474,30,52.75757575757576,52.42424242424242,61.8235294117647
64,2145,56.55,0.10007603890362518,30,53.515151515151516,53.18181818181818,62.76470588235294
65,2105,57.38,0.10020564656674794,30,54.24242424242424,54.0,63.705882352941174
66,2070,58.26,0.09992790937178171,30,55.09090909090909,54.81818181818182,64.67647058823529
67,2041,59.11,0.09980883099306383,30,55.878787878787875,55.60606060606061,65.6470588235294
68,2006,59.99,0.09936822803800638,30,56.72727272727273,56.42424242424242,66.61764705882354
69,1980,60.81,0.09903469824042105,30,57.42424242424242,57.303030303030305,67.5
70,1944,61.68,0.09857652399481197,30,58.27272727272727,58.09090909090909,68.47058823529412
71,1907,62.55,0.09832933653077532,30,59.09090909090909,58.878787878787875,69.47058823529412
72,1877,63.4,0.09853943217665616,30,59.84848484848485,59.696969696969695,70.44117647058823
73,1846,64.23,0.09830764440292697,30,60.57575757575758,60.515151515151516,71.38235294117646
74,1805,65.08,0.09839274738783033,30,61.303030303030305,61.333333333333336,72.38235294117646
75,1770,65.89,0.09857186219456665,30,62.06060606060606,62.06060606060606,73.32352941176471
76,1758,66.68,0.09863227354529087,30,62.78787878787879,62.78787878787879,74.23529411764706
77,1735,67.44,0.09887010676156578,30,63.42424242424242,63.515151515151516,75.1470588235294
78,1722,68.14,0.09971529204578815,30,64.03030303030303,64.12121212121212,76.02941176470588
79,1697,68.93,0.09989699695343106,30,64.72727272727273,64.87878787878788,76.94117647058823
80,1669,69.71,0.10050638358915506,30,65.39393939393939,65.63636363636364,77.8529411764706
81,1660,70.52,0.10087918321043673,30,66.06060606060606,66.45454545454545,78.79411764705883
82,1634,71.31,0.10108119478334032,30,66.72727272727273,67.18181818181819,79.76470588235294
83,1592,72.12,0.10136716583471994,30,67.39393939393939,67.96969696969697,80.73529411764706
84,1574,72.87,0.10167833127487313,30,68.06060606060606,68.60606060606061,81.67647058823529
85,1547,73.64,0.10244703965236283,30,68.66666666666667,69.36363636363636,82.61764705882354
86,1528,74.41,0.10294449670743176,30,69.36363636363636,70.06060606060606,83.52941176470588
87,1502,75.21,0.10305943358595926,30,70.06060606060606,70.75757575757575,84.52941176470588
88,1483,75.98,0.10320084232692807,30,70.78787878787878,71.39393939393939,85.47058823529412
89,1459,76.72,0.1035714285714286,30,71.39393939393939,72.06060606060606,86.41176470588235
90,1435,77.5,0.10404387096774187,30,72.03030303030303,72.81818181818181,87.3529411764706
91,1424,78.14,0.10506782697722031,30,72.51515151515152,73.36363636363636,88.23529411764706
92,1401,78.87,0.1056333206542412,30,73.0909090909091,74.06060606060606,89.1470588235294
93,1384,79.58,0.10627041970344309,30,73.63636363636364,74.6969696969697,90.08823529411765
94,1369,80.27,0.10726174162202567,30,74.18181818181819,75.27272727272727,91.02941176470588
95,1345,81.0,0.10770123456790116,30,74.78787878787878,75.93939393939394,91.94117647058823
96,1328,81.7,0.10815911872705015,30,75.3030303030303,76.51515151515152,92.94117647058823
97,1312,82.4,0.10849999999999994,30,75.9090909090909,77.03030303030303,93.91176470588235
98,1306,83.11,0.10867163999518709,30,76.51515151515152,77.66666666666667,94.79411764705883
99,1303,83.78,0.10911434709954648,30,77.06060606060606,78.27272727272727,95.6470588235294
100,1280,84.5,0.10991479289940827,30,77.60606060606061,78.9090909090909,96.61764705882354
